Date,CityName,StateName,MedianSalePrice,Year,SalesTotal,Total Population,Median Income,MORTGAGE30US,Unemployment Rate,HAI
2010-09-30,Miami,FL,132950.0,2010.0,7450.0,,29621.0,4.32,,116.96548766298793
2010-09-30,Atlanta,GA,117000.0,2010.0,6585.0,,45171.0,4.32,,202.6843445115142
2010-09-30,Boston,MA,309500.0,2010.0,2889.0,,50684.0,4.32,,85.97191294977671
2010-09-30,Phoenix,AZ,121900.0,2010.0,6871.0,,48823.0,4.32,,210.26506294475342
2010-09-30,San Francisco,CA,385000.0,2010.0,4480.0,,71304.0,4.32,,97.22982977083812
2010-09-30,Riverside,CA,175000.0,2010.0,5475.0,,56991.0,4.32,,170.96790506330137
2010-09-30,Detroit,MI,73000.0,2010.0,5367.0,,28357.0,4.32,,203.93125150474526
2010-09-30,Seattle,WA,274995.0,2010.0,2697.0,,60665.0,4.32,,115.81365445557185
2010-09-30,Minneapolis,MN,172500.0,2010.0,2863.0,,46075.0,4.32,,140.22408211553687
2010-09-30,San Diego,CA,350000.0,2010.0,3192.0,,62480.0,4.32,,93.71720717617755
2010-09-30,Tampa,FL,115000.0,2010.0,3122.0,,43117.0,4.32,,196.83261254179934
2010-09-30,Denver,CO,207000.0,2010.0,2843.0,,45501.0,4.32,,115.3976480437519
2010-09-30,Baltimore,MD,212250.0,2010.0,2710.0,,39386.0,4.32,,97.41829829507374
2010-09-30,St. Louis,MO,133950.0,2010.0,2249.0,,33652.0,4.32,,131.89080642423173
2010-09-30,Orlando,FL,110000.0,2010.0,3149.0,,42355.0,4.32,,202.14283966963245
2010-09-30,Charlotte,NC,150000.0,2010.0,1905.0,,52446.0,4.32,,183.5555299452233
2010-09-30,San Antonio,TX,146254.0,2010.0,1194.0,,43152.0,4.32,,154.89576281495366
2010-09-30,Portland,OR,231000.0,2010.0,1838.0,,48831.0,4.32,,110.9762383021943
2010-09-30,Sacramento,CA,204000.0,2010.0,2545.0,,50267.0,4.32,,129.35974795022415
2010-09-30,Pittsburgh,PA,118000.0,2010.0,2133.0,,36019.0,4.32,,160.24924990879234
2010-09-30,Cincinnati,OH,124426.0,2010.0,1596.0,,33681.0,4.32,,142.10854698235147
2010-09-30,Austin,TX,190100.0,2010.0,1128.0,,50520.0,4.32,,139.51714688956514
2010-09-30,Las Vegas,NV,128250.0,2010.0,3863.0,,54334.0,4.32,,222.41325500478607
2010-09-30,Kansas City,MO,138500.0,2010.0,1721.0,,44113.0,4.32,,167.21036000047977
2010-09-30,Columbus,OH,119000.0,2010.0,1348.0,,43122.0,4.32,,190.23844843767083
2010-09-30,Indianapolis,IN,115500.0,2010.0,1800.0,,43088.0,4.32,,195.84870905633503
2010-09-30,Cleveland,OH,107500.0,2010.0,1376.0,,27349.0,4.32,,133.56090353325314
2010-09-30,San Jose,CA,490000.0,2010.0,1371.0,,79405.0,4.32,,85.07425045528144
2010-09-30,Virginia Beach,VA,201500.0,2010.0,1244.0,,64618.0,4.32,,168.3545362929902
2010-09-30,Providence,RI,204000.0,2010.0,1123.0,,36925.0,4.32,,95.02474174034707
2010-09-30,Jacksonville,FL,130450.0,2010.0,1344.0,,48829.0,4.32,,196.50794234646628
2010-09-30,Milwaukee,WI,168450.0,2010.0,936.0,,35921.0,4.32,,111.94991405419906
2010-09-30,Oklahoma City,OK,106250.0,2010.0,985.0,,43798.0,4.32,,216.40719800644396
2010-09-30,Raleigh,NC,180000.0,2010.0,926.0,,52219.0,4.32,,152.3008780175421
2010-09-30,Memphis,TN,120000.0,2010.0,1199.0,,36473.0,4.32,,159.56461988741108
2010-09-30,Richmond,VA,170000.0,2010.0,924.0,,38266.0,4.32,,118.17089020780895
2010-09-30,New Orleans,LA,152650.0,2010.0,536.0,,37468.0,4.32,,128.85760772940503
2010-09-30,Salt Lake City,UT,199900.0,2010.0,703.0,,44223.0,4.32,,116.13998568852568
2010-09-30,Hartford,CT,208500.0,2010.0,1164.0,,28970.0,4.32,,72.94386939842637
2010-09-30,Buffalo,NY,121000.0,2010.0,759.0,,30043.0,4.32,,130.34797506347365
2010-09-30,Birmingham,AL,135000.0,2010.0,910.0,,31827.0,4.32,,123.76797831349539
2010-09-30,Rochester,NY,117400.0,2010.0,857.0,,30138.0,4.32,,134.7698338707192
2010-09-30,Grand Rapids,MI,90000.0,2010.0,1018.0,,38344.0,4.32,,223.66666794479534
2010-09-30,Tucson,AZ,145928.0,2010.0,934.0,,37025.0,4.32,,133.1995624592184
2010-09-30,Tulsa,OK,123000.0,2010.0,794.0,,39289.0,4.32,,167.69195390794243
2010-09-30,Fresno,CA,165000.0,2010.0,834.0,,43124.0,4.32,,137.20863838056474
2010-09-30,Worcester,MA,185000.0,2010.0,669.0,,45036.0,4.32,,127.80105632377203
2010-09-30,Omaha,NE,123000.0,2010.0,653.0,,46230.0,4.32,,197.31729056896788
2010-09-30,Bridgeport,CT,400000.0,2010.0,846.0,,41047.0,4.32,,53.87258206770951
2010-09-30,Greenville,SC,135500.0,2010.0,767.0,,40291.0,4.32,,156.10438859459433
2010-09-30,Albuquerque,NM,174000.0,2010.0,545.0,,46662.0,4.32,,140.7863217323041
2010-09-30,Bakersfield,CA,119000.0,2010.0,893.0,,53997.0,4.32,,238.21495988796696
2010-09-30,Albany,NY,175000.0,2010.0,360.0,,39158.0,4.32,,117.47049931513318
2010-09-30,Knoxville,TN,125000.0,2010.0,789.0,,32756.0,4.32,,137.57110030627464
2010-09-30,Baton Rouge,LA,160500.0,2010.0,486.0,,36964.0,4.32,,120.90667728898961
2010-09-30,McAllen,TX,116000.0,2010.0,166.0,,39547.0,4.32,,178.97893357166745
2010-09-30,New Haven,CT,199000.0,2010.0,787.0,,38963.0,4.32,,102.78877100948824
2010-09-30,El Paso,TX,137500.0,2010.0,355.0,,37428.0,4.32,,142.9026505140834
2010-09-30,Allentown,PA,166750.0,2010.0,672.0,,36202.0,4.32,,113.97591380051261
2010-09-30,Oxnard,CA,371500.0,2010.0,663.0,,59015.0,4.32,,83.39690907392347
2010-09-30,Columbia,SC,125615.0,2010.0,588.0,,38272.0,4.32,,159.95065272028504
2010-09-30,North Port,FL,139000.0,2010.0,1177.0,,47655.0,4.32,,179.98654277780506
2010-09-30,Charleston,SC,192000.0,2010.0,642.0,,49448.0,4.32,,135.20534580704737
2010-09-30,Greensboro,NC,118750.0,2010.0,463.0,,41530.0,4.32,,183.600844384302
2010-09-30,Stockton,CA,165000.0,2010.0,747.0,,47946.0,4.32,,152.550908445287
2010-09-30,Cape Coral,FL,89900.0,2010.0,1678.0,,52761.0,4.32,,308.1056681164101
2010-09-30,Boise City,ID,126250.0,2010.0,704.0,,50402.0,4.32,,209.5862294637232
2010-09-30,Colorado Springs,CO,189900.0,2010.0,641.0,,53074.0,4.32,,146.7246954546429
2010-09-30,Little Rock,AR,140000.0,2010.0,710.0,,44068.0,4.32,,165.25007545773812
2010-09-30,Lakeland,FL,87500.0,2010.0,622.0,,40988.0,4.32,,245.9206714300362
2010-09-30,Akron,OH,87000.0,2010.0,395.0,,34359.0,4.32,,207.33261447860087
2010-09-30,Des Moines,IA,130500.0,2010.0,533.0,,44178.0,4.32,,177.72228998584802
2010-09-30,Springfield,MA,170650.0,2010.0,420.0,,34628.0,4.32,,106.52890859174782
2010-09-30,Ogden,UT,174450.0,2010.0,334.0,,41073.0,4.32,,123.6037971929979
2010-09-30,Madison,WI,186000.0,2010.0,390.0,,52550.0,4.32,,148.32219282108733
2010-09-30,Deltona,FL,110000.0,2010.0,783.0,,50058.0,4.32,,238.90606228739136
2010-09-30,Syracuse,NY,115000.0,2010.0,460.0,,30891.0,4.32,,141.01992796411446
2010-09-30,Provo,UT,190000.0,2010.0,354.0,,37892.0,4.32,,104.69845887626373
2010-09-30,Toledo,OH,70000.0,2010.0,386.0,,34260.0,4.32,,256.9423429782204
2010-09-30,Wichita,KS,131330.0,2010.0,272.0,,44360.0,4.32,,177.32662754736904
2010-09-30,Durham,NC,159500.0,2010.0,383.0,,46972.0,4.32,,154.60542402211158
